pc_time,date,ntpserverip,stratum,pcip,t0,t1,t2,t3,toffset,tdelay,iserror,errmsg
11:27:56,2023-06-12,129.6.15.28,2,172.16.16.101,1686203876,1686203877,1686203879,1686203879,1.791717529,0.008972168,,
11:28:15,2023-06-13,129.6.15.28,2,172.16.16.101,1686203895,1686203896,1686203898,1686203898,1.84117794,0.008972168,,
11:28:19,2023-06-14,129.6.15.28,2,172.16.16.101,1686203899,1686203900,1686203901,1686203901,1.922882318,0.008972168,,
11:28:45,2023-06-15,129.6.15.28,2,172.16.16.101,1686203925,1686203926,1686203928,1686203928,1.828634977,0.008972168,Y,
11:28:50,2023-06-16,129.6.15.28,2,172.16.16.101,1686203930,1686203931,1686203932,1686203932,1.85583353,0.008972168,,
11:28:52,2023-06-17,129.6.15.29,2,172.16.16.101,1686203933,1686203933,1686203935,1686203935,1.842653513,0.008972168,,
11:28:54,2023-06-18,129.6.15.30,2,172.16.16.101,1686203935,1686203935,1686203937,1686203937,1.896224737,0.008972168,,
11:28:56,2023-06-19,129.6.15.31,2,172.16.16.101,1686203937,1686203937,1686203939,1686203939,1.921238422,0.008972168,,
11:28:58,2023-06-20,129.6.15.32,2,172.16.16.101,1686203939,1686203940,1686203941,1686203941,1.835456133,0.008972168,Y,
11:29:01,2023-06-20,129.6.15.33,2,172.16.16.101,1686203942,1686203942,1686203944,1686203944,1.868030548,0.008972168,,
11:29:03,2023-06-20,129.6.15.34,2,172.16.16.101,1686203944,1686203944,1686203946,1686203946,1.880022049,0.008972168,,
11:29:05,2023-06-20,129.6.15.35,2,172.16.16.101,1686203946,1686203946,1686203948,1686203948,1.867465258,0.008972168,,
11:29:08,2023-06-20,129.6.15.36,2,172.16.16.101,1686203948,1686203949,1686203950,1686203950,1.907283545,0.008972168,,
11:29:09,2023-06-20,129.6.15.37,2,172.16.16.101,1686203950,1686203950,1686203952,1686203952,1.918319225,0.008972168,,
13:35:37,2023-06-20,129.6.15.38,2,172.16.16.101,1686211537,1686211538,1686211540,1686211540,2.733810186,0.000762939,Y,
13:36:20,2023-06-20,129.6.15.39,3,172.16.16.101,1686211580,1686211580,1686211583,1686211583,2.723829269,0.033447266,,
15:03:25,2023-06-20,65.100.46.164,2,172.16.16.139,1687253605,1687253605,1687253608,1687253608,2.185019493,0.021331787,,
15:03:31,2023-06-20,65.100.46.164,2,172.16.16.139,1687253611,1687253611,1687253613,1687253613,2.181194305,0.021331787,,
15:03:33,2023-06-20,65.100.46.164,2,172.16.16.139,1687253613,1687253613,1687253615,1687253615,2.184370518,0.021331787,,
15:03:34,2023-06-20,65.100.46.164,2,172.16.16.139,1687253615,1687253615,1687253617,1687253617,2.177094936,0.021331787,,
15:03:35,2023-06-20,65.100.46.164,2,172.16.16.139,1687253616,1687253616,1687253618,1687253618,2.178130388,0.021331787,,
15:03:37,2023-06-20,65.100.46.164,2,172.16.16.139,1687253617,1687253618,1687253620,1687253620,2.178199291,0.021331787,,
15:03:38,2023-06-20,65.100.46.164,2,172.16.16.139,1687253619,1687253619,1687253621,1687253621,2.180096388,0.021331787,Y,
15:03:40,2023-06-20,65.100.46.164,2,172.16.16.139,1687253620,1687253621,1687253623,1687253623,2.182021141,0.021331787,,
15:03:41,2023-06-20,65.100.46.164,2,172.16.16.139,1687253622,1687253622,1687253624,1687253624,2.177438736,0.021331787,,
15:03:43,2023-06-20,65.100.46.164,2,172.16.16.139,1687253623,1687253624,1687253626,1687253626,2.180141211,0.021331787,,
14:56:08,2023-06-21,206.108.0.131,2,172.16.16.139,1687339568,1687339568,1687339572,1687339572,3.523917675,0.011459351,,
11:48:59,2023-06-26,225.254.30.190,4,172.16.16.116,1687760340,1687760340,1687760340,1687760340,0.047384024,0.032485962,,
11:49:08,2023-06-26,225.254.30.190,4,172.16.16.116,1687760349,1687760349,1687760349,1687760349,0.037822962,0.032485962,,
11:49:10,2023-06-26,225.254.30.190,4,172.16.16.116,1687760350,1687760350,1687760350,1687760350,0.04358387,0.032485962,,
11:49:11,2023-06-26,225.254.30.190,4,172.16.16.116,1687760351,1687760352,1687760352,1687760352,0.046000957,0.032485962,,
11:49:12,2023-06-26,225.254.30.190,4,172.16.16.116,1687760353,1687760353,1687760353,1687760353,0.039446354,0.032485962,,
11:49:13,2023-06-26,225.254.30.190,4,172.16.16.116,1687760354,1687760354,1687760354,1687760354,0.037623644,0.032485962,,
11:59:51,2023-06-26,80.80.83.0,1,172.16.16.116,1687760992,1687760992,1687760992,1687760992,0.03123951,1.53E-05,Y,
12:00:01,2023-06-26,80.80.83.0,1,172.16.16.116,1687761002,1687761002,1687761002,1687761002,0.035442829,1.53E-05,,
12:11:37,2023-06-26,80.80.83.0,1,172.16.16.116,1687761698,1687761698,1687761698,1687761698,0.040030003,0,,
12:11:45,2023-06-26,80.80.83.0,1,172.16.16.116,1687761706,1687761706,1687761706,1687761706,0.036440611,0,Y,
10:32:01,2023-06-28,172.18.56.13,2,172.16.16.46,1687928521,1687928522,1687928522,1687928522,0.065616608,0.124801636,,
10:32:06,2023-06-28,172.18.56.13,2,172.16.16.46,1687928527,1687928527,1687928527,1687928527,0.070960522,0.124801636,,
10:32:12,2023-06-28,172.18.56.13,2,172.16.16.46,1687928533,1687928533,1687928533,1687928533,0.064254284,0.124801636,,
10:32:14,2023-06-28,172.18.56.13,2,172.16.16.46,1687928535,1687928535,1687928535,1687928535,0.048833609,0.124801636,,
10:32:17,2023-06-28,172.18.56.13,2,172.16.16.46,1687928537,1687928537,1687928537,1687928537,0.055263281,0.124801636,,
10:32:19,2023-06-28,172.18.56.13,2,172.16.16.46,1687928539,1687928540,1687928539,1687928539,0.07948184,0.124801636,Y,
10:32:21,2023-06-28,172.18.56.13,2,172.16.16.46,1687928541,1687928542,1687928542,1687928542,0.061714172,0.124801636,,
10:32:23,2023-06-28,172.18.56.13,2,172.16.16.46,1687928544,1687928544,1687928544,1687928544,0.059545517,0.124801636,,
10:32:25,2023-06-28,172.18.56.13,2,172.16.16.46,1687928546,1687928546,1687928546,1687928546,0.062300682,0.124801636,,
10:32:27,2023-06-28,172.18.56.13,2,172.16.16.46,1687928548,1687928548,1687928548,1687928548,0.061263084,0.124801636,Y,
13:38:09,2023-07-11,129.6.15.28,2,172.16.16.185,1689062889.3157787,1689062889.541829,1689062891.6032758,1689062891.6032677,2.1744678020477295,0.008544921875
13:38:26,2023-07-11,192.36.134.25,2,172.16.16.185,1689062906.2619748,1689062906.421628,1689062908.5267043,1689062908.5266757,2.1848886013031006,0.0178070068359375
